"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-01","0.0","24.4","14.7"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-02","0.0","22.3","8.7"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-03","0.0","20.9","7.0"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-04","24.6","20.0","8.7"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-05","2.2","9.8","3.5"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-06","6.8","10.7","2.4"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-07","2.1","12.4","6.3"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-08","22.6","13.1","5.2"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-09","37.3","14.7","9.1"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-10","10.5","13.5","11.9"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-11","1.3","12.7","7.6"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-12","0.0","10.9","3.4"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-13","0.0","13.9","1.2"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-14","0.0","15.9","2.3"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-15","0.0","14.1","0.0"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-16","0.0","14.3","0.0"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-17","0.0","11.6","-0.3"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-18","0.0","12.1","-1.2"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-19","0.3","10.4","0.7"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-20","2.7","9.4","4.5"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-21","0.0","8.5","4.9"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-22","0.0","9.4","-0.6"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-23","0.0","14.0","-2.2"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-24","0.0","16.2","3.9"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-25","0.0","16.1","2.3"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-26","0.0","15.5","0.1"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-27","0.0","12.8","-0.6"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-28","0.0","9.3","4.4"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-29","0.0","13.1","4.6"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-30","1.8","11.4","3.4"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-01-31","7.6","11.2","5.7"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-02-01","0.0","12.1","3.7"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-02-02","0.0","19.9","1.9"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-02-03","0.0","17.9","2.4"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-02-04","6.5","11.8","4.4"
"SPE00120611","BILBAO AEROPUERTO, SP","2022-02-05","0.0","11.9","2.3"
