"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT06"
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-01","0.69","0.0","0.0","56","43","47","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-02","0.00","0.0","0.0","53","29","29","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-03","0.01","0.0","0.0","48","29","34","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-04","0.83","0.0","0.0","51","34","40",,,"    1",,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-05","0.21","0.0","0.0","46","40","44","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-06","0.01","0.0","0.0","44","34","34","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-07","0.14","0.0","0.0","37","31","32","0.0","0.0","    1",,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-08","0.00","0.0","0.0","43","25","25","0.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-09","0.01","0.2","0.0","36","24","30","0.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-10","0.00","0.0","0.0","42","26","33","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-11","0.00","0.0","0.0","41","23","23","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-12","0.00","0.0","0.0","35","23","33","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-13","1.22","0.0","0.0","57","33","55","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-14","0.14","0.0","0.0","55","33","33","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-15","0.00","0.0","0.0","34","32","34","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-16","0.02","0.3","0.0","36","29","31","0.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-17","0.11","0.8","1.0","33","27","27",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-18","0.00","0.0","0.0","50","27","39","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-19","0.00","0.0","0.0","51","30","31","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-20","1.23","0.0","0.0","40","31","35","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-21","0.14","0.1","0.0","35","30","30",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-22","0.00","0.0","0.0","34","29","29",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-23","1.03","0.0","0.0","38","29","37","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-24","0.29","1.6","2.0","37","26","29",,"0.3",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-25","0.00","0.0","0.0","38","26","26",,"0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-26","1.35","0.2","0.0","55","26","53","0.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-27","0.00","0.0","0.0","53","27","28","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-28","0.00","0.0","0.0","41","25","28","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-29","0.00","0.0","0.0","50","28","29","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-30","0.00","0.0","0.0","51","29","31","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-01-31","0.05","0.1","0.0","51","31","33","0.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-01","0.00","0.0","0.0","38","20","21","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-02","0.00","0.0","0.0","31","16","16","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-03","0.00","0.0","0.0","37","16","29","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-04","0.00","0.0","0.0","29","-10","-10","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-05","0.00","0.0","0.0","22","-10","21","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-06","0.00","0.0","0.0","48","21","28","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-07","0.00","0.0","0.0","48","25","25","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-08","0.05","0.0","0.0","37","25","31","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-09","0.00","0.0","0.0","47","25","26","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-10","0.00","0.0","0.0","53","26","46","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-11","0.00","0.0","0.0","65","32","35","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-12","0.00","0.0","0.0","44","24","31","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-13","0.00","0.0","0.0","50","31","41","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-14","0.00","0.0","0.0","45","32","38","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-15","0.00","0.0","0.0","51","27","31","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-16","0.00","0.0","0.0","56","31","40","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-17","0.00","0.0","0.0","66","39","49","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-18","0.20","0.3","0.0","56","21","22","0.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-19","0.00","0.0","0.0","39","21","26",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-20","0.00","0.0","0.0","48","26","45","0.0","0.0","    1",,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-21","0.03","0.0","0.0","60","36","36","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-22","0.16","0.2","0.0","39","29","29","0.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-23","0.57","0.0","0.0","44","29","35","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-24","0.15","0.0","0.0","36","29","33","0.0","0.0",,,"    1"
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-25","0.00","0.0","0.0","38","14","15",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-26","0.01","0.0","1.0","23","15","21",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-27","0.00","0.0","0.0","37","21","27","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-02-28","0.23","2.7","3.0","35","27","32",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-01","0.21","0.2","1.0","36","27","29",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-02","0.09","0.0","0.0","46","29","38","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-03","0.00","0.0","0.0","44","27","28","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-04","0.44","0.5","0.0","46","28","35","0.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-05","0.34","0.0","0.0","37","27","29",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-06","0.00","0.0","0.0","45","28","35","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-07","0.00","0.0","0.0","49","34","34","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-08","0.00","0.0","0.0","40","29","31","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-09","0.00","0.0","0.0","46","31","36","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-10","0.00","0.0","0.0","49","25","37","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-11","0.08","0.0","0.0","51","27","36","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-12","0.08","0.0","0.0","38","31","31","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-13","0.00","0.0","0.0","42","31","35","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-14","1.31","0.0","0.0","43","35","42","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-15","1.75","0.6","0.0","43","33","35","0.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-16","0.00","0.0","0.0","43","33","34","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-17","0.00","0.0","0.0","51","33","37","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-18","0.03","0.0","0.0","54","37","44","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-19","0.00","0.0","0.0","53","29","30",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-20","0.00","0.0","0.0","40","24","24",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-21","0.00","0.0","0.0","51","24","26","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-22","0.00","0.0","0.0","60","24","32","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-23","0.00","0.0","0.0","60","32","47","0.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-24","0.02","0.0","0.0","58","43","43","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-25","0.00","0.0","0.0","53","28","31","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-26","0.17","0.0","0.0","42","31","41","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-27","0.00","0.0","0.0","59","29","30","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-28","0.54","0.0","0.0","61","30","37","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-29","0.05","0.0","0.0","45","27","28","0.0","0.0",,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-30","0.06","0.0","0.0","52","28","31",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-03-31","0.00","0.0","0.0","41","23","23",,,,,
"USC00198368","NWS BOSTON NORTON, MA US","2023-04-01","0.07","0.0","0.0","52","23","44","0.0","0.0",,,
