"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.09.2023","10,920","10,910","10,960","10,725","","0,55%"
"07.09.2023","10,860","10,860","10,890","10,630","7,55M","1,59%"
"06.09.2023","10,690","10,635","10,715","10,560","5,71M","0,47%"
"05.09.2023","10,640","10,700","10,820","10,635","6,59M","-0,88%"
"04.09.2023","10,735","10,880","10,910","10,710","3,93M","-0,97%"
"01.09.2023","10,840","10,925","11,005","10,795","6,15M","-1,09%"
"31.08.2023","10,960","10,985","11,110","10,960","32,49M","-0,23%"
"30.08.2023","10,985","11,180","11,215","10,930","10,04M","-2,31%"
"29.08.2023","11,245","11,090","11,245","11,060","25,55M","2,23%"
"28.08.2023","11,000","11,000","11,040","10,980","","0,32%"
"25.08.2023","10,965","10,810","11,015","10,810","5,45M","1,01%"
"24.08.2023","10,855","10,920","10,980","10,855","9,16M","0,05%"
"23.08.2023","10,850","10,725","10,970","10,710","7,06M","1,59%"
"22.08.2023","10,680","10,645","10,740","10,630","4,23M","0,75%"
"21.08.2023","10,600","10,605","10,745","10,520","6,80M","-0,24%"
"18.08.2023","10,625","10,615","10,700","10,540","7,29M","0,57%"
"17.08.2023","10,565","10,670","10,715","10,560","8,81M","-1,35%"
"16.08.2023","10,710","10,620","10,795","10,605","4,92M","0,61%"
"15.08.2023","10,645","10,850","10,860","10,620","6,00M","-2,16%"
"14.08.2023","10,880","10,920","10,930","10,845","4,30M","-0,50%"
"11.08.2023","10,935","10,925","11,020","10,900","5,66M","-0,09%"
"10.08.2023","10,945","10,855","10,975","10,835","10,11M","1,34%"
"09.08.2023","10,800","10,885","10,950","10,765","5,81M","-0,32%"
"08.08.2023","10,835","10,750","10,885","10,710","9,01M","0,65%"
"07.08.2023","10,765","10,775","10,780","10,615","5,70M","-0,23%"
"04.08.2023","10,790","10,760","10,810","10,615","8,45M","0,37%"
"03.08.2023","10,750","10,875","10,910","10,715","12,91M","-1,51%"
"02.08.2023","10,915","11,110","11,125","10,915","13,63M","-2,24%"
"01.08.2023","11,165","11,405","11,410","11,145","8,87M","-1,67%"
"31.07.2023","11,355","11,460","11,490","11,355","11,62M","-0,74%"
"28.07.2023","11,440","11,390","11,575","11,380","9,31M","-0,65%"
"27.07.2023","11,515","11,515","11,555","11,365","8,57M","0,74%"
"26.07.2023","11,430","11,425","11,480","11,335","7,54M","0,09%"
"25.07.2023","11,420","11,465","11,480","11,360","10,59M","-0,44%"
"24.07.2023","11,470","11,345","11,515","11,320","11,38M","-0,48%"
"21.07.2023","11,525","11,385","11,535","11,385","8,80M","1,45%"
"20.07.2023","11,360","11,210","11,370","11,195","7,24M","1,70%"
"19.07.2023","11,170","11,210","11,285","11,160","6,10M","-0,09%"
"18.07.2023","11,180","11,205","11,250","11,150","6,10M","-0,36%"
"17.07.2023","11,220","11,310","11,335","11,210","7,36M","-0,84%"
"14.07.2023","11,315","11,320","11,380","11,290","9,58M","-0,31%"
"13.07.2023","11,350","11,300","11,395","11,270","15,11M","0,93%"
"12.07.2023","11,245","11,170","11,295","11,125","31,57M","1,03%"
"11.07.2023","11,130","11,190","11,240","11,080","10,65M","0,00%"
"10.07.2023","11,130","11,110","11,180","11,055","16,52M","-0,49%"
"07.07.2023","11,185","11,310","11,355","11,160","13,26M","-1,69%"
"06.07.2023","11,377","11,407","11,582","11,324","17,56M","-1,23%"
"05.07.2023","11,519","11,845","11,859","11,485","15,12M","-2,75%"
"04.07.2023","11,845","11,830","11,923","11,782","6,49M","0,16%"
"03.07.2023","11,825","11,665","11,850","11,645","33,01M","1,63%"
"30.06.2023","11,636","11,587","11,747","11,538","23,35M","0,80%"
"29.06.2023","11,543","11,601","11,616","11,524","8,28M","-0,13%"
"28.06.2023","11,558","11,524","11,606","11,489","8,22M","0,68%"
"27.06.2023","11,480","11,363","11,509","11,343","7,14M","1,11%"
"26.06.2023","11,353","11,402","11,460","11,319","7,57M","-0,13%"
"23.06.2023","11,368","11,421","11,533","11,363","7,08M","-0,68%"
"22.06.2023","11,446","11,519","11,524","11,377","6,70M","-0,59%"
"21.06.2023","11,514","11,558","11,611","11,475","7,04M","-1,00%"
"20.06.2023","11,631","11,373","11,679","11,373","9,69M","2,05%"
"19.06.2023","11,397","11,499","11,528","11,358","6,55M","-0,97%"
"16.06.2023","11,509","11,304","11,645","11,295","28,14M","1,98%"
"15.06.2023","11,285","11,246","11,329","11,163","11,91M","-2,46%"
"14.06.2023","11,570","11,475","11,635","11,460","9,73M","0,87%"
"13.06.2023","11,470","11,550","11,555","11,395","7,19M","-0,65%"
"12.06.2023","11,545","11,530","11,595","11,505","17,93M","0,43%"
"09.06.2023","11,495","11,465","11,540","11,445","8,65M","0,44%"
"08.06.2023","11,445","11,550","11,600","11,445","8,03M","-0,74%"
"07.06.2023","11,530","11,640","11,700","11,510","5,87M","-1,33%"
"06.06.2023","11,685","11,570","11,685","11,570","5,39M","0,99%"
"05.06.2023","11,570","11,595","11,640","11,550","14,76M","-0,09%"
"02.06.2023","11,580","11,500","11,590","11,395","7,42M","0,61%"
"01.06.2023","11,510","11,450","11,535","11,415","4,86M","0,96%"
"31.05.2023","11,400","11,440","11,590","11,375","39,49M","-0,83%"
"30.05.2023","11,495","11,470","11,575","11,460","7,02M","0,31%"
"29.05.2023","11,460","11,580","11,610","11,440","4,36M","-0,26%"
"26.05.2023","11,490","11,370","11,535","11,290","8,14M","0,92%"
"25.05.2023","11,385","11,585","11,615","11,365","10,69M","-1,85%"
"24.05.2023","11,600","11,565","11,615","11,500","11,24M","-0,39%"
"23.05.2023","11,645","11,615","11,725","11,550","5,01M","0,22%"
"22.05.2023","11,620","11,615","11,700","11,605","5,62M","-0,09%"
"19.05.2023","11,630","11,530","11,660","11,500","10,02M","1,09%"
"18.05.2023","11,505","11,660","11,705","11,490","10,33M","-1,33%"
"17.05.2023","11,660","11,800","11,800","11,650","9,59M","-1,56%"
"16.05.2023","11,845","11,880","11,950","11,805","8,48M","0,04%"
"15.05.2023","11,840","11,920","11,920","11,795","7,97M","-0,21%"
