"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-01","0.51","0.0","0.0","52","43","47"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-02","0.00","0.0","0.0","55","32","32"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-03","0.00","0.0","0.0","55","31","46"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-04","0.43","0.0","0.0","54","46","48"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-05","0.12","0.0","0.0","64","45","45"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-06","0.11","0.0","0.0","46","39","39"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-07","0.17","0.0","0.0","42","34","34"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-08","0.00","0.0","0.0","45","28","29"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-09","0.00","0.0","0.0","37","26","33"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-10","0.00","0.0","0.0","44","23","30"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-11","0.00","0.0","0.0","42","30","31"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-12","0.00","0.0","0.0","41","29","41"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-13","0.64","0.0","0.0","56","41","51"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-14","0.10","0.0","0.0","51","33","33"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-15","0.00","0.0","0.0","34","30","32"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-16","0.00","0.0","0.0","39","27","28"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-17","0.00","0.0","0.0","40","27","28"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-18","0.00","0.0","0.0","45","27","41"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-19","0.00","0.0","0.0","53","27","34"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-20","0.93","0.0","0.0","47","34","37"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-21","0.00","0.0","0.0","47","33","34"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-22","0.00","0.0","0.0","38","31","31"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-23","1.20","0.0","0.0","40","31","36"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-24","0.29","0.0","0.0","38","32","33"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-25","0.00","0.0","0.0","45","25","26"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-26","1.66","0.0","0.0","55","26","48"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-27","0.00","0.0","0.0","48","29","29"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-28","0.00","0.0","0.0","43","23","39"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-29","0.00","0.0","0.0","53","28","32"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-30","0.00","0.0","0.0","49","31","34"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-01-31","0.01","0.0","0.0","54","33","33"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-01","0.09","0.7","1.0","37","24","25"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-02","0.00","0.0","0.0","35","16","16"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-03","0.00","0.0","0.0","38","16","28"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-04","0.00","0.0","0.0","28","0","0"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-05","0.00","0.0","0.0","34","0","34"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-06","0.00","0.0","0.0","43","29","30"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-07","0.00","0.0","0.0","51","25","26"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-08","0.08","0.0","0.0","40","26","32"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-09","0.00","0.0","0.0","50","24","24"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-10","0.00","0.0","0.0","55","24","55"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-11","0.00","0.0","0.0","62","34","34"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-12","0.00","0.0","0.0","45","23","25"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-13","0.18","0.0","0.0","45","25","38"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-14","0.00","0.0","0.0","51","36","38"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-15","0.00","0.0","0.0","52","33","44"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-16","0.00","0.0","0.0","59","42","50"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-17","0.08","0.0","0.0","70","47","50"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-18","0.31","0.0","0.0","55","24","24"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-19","0.00","0.0","0.0","39","24","29"
"USC00308721","UPTON COOP NWSFO NEW YORK, NY US","2023-02-20","0.00","0.0","0.0","48","29","45"
