"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.09.2023","14,852","14,610","14,860","14,555","","1,59%"
"07.09.2023","14,620","14,620","14,690","14,520","3,02M","0,17%"
"06.09.2023","14,595","14,665","14,760","14,545","2,93M","-0,82%"
"05.09.2023","14,715","14,610","14,890","14,520","4,13M","0,44%"
"04.09.2023","14,650","14,800","14,810","14,620","4,55M","-0,41%"
"01.09.2023","14,710","14,460","14,835","14,420","5,51M","3,45%"
"31.08.2023","14,220","14,415","14,450","14,220","8,26M","-1,25%"
"30.08.2023","14,400","14,445","14,500","14,355","3,37M","0,24%"
"29.08.2023","14,365","14,260","14,495","14,260","21,44M","0,81%"
"28.08.2023","14,250","14,250","14,275","14,175","","1,24%"
"25.08.2023","14,075","13,855","14,165","13,855","3,42M","1,62%"
"24.08.2023","13,850","13,720","13,890","13,710","2,75M","0,95%"
"23.08.2023","13,720","13,965","13,965","13,500","3,04M","-1,40%"
"22.08.2023","13,915","13,980","14,075","13,915","1,55M","-0,64%"
"21.08.2023","14,005","13,895","14,140","13,895","2,93M","1,05%"
"18.08.2023","13,860","13,715","13,890","13,660","2,63M","0,33%"
"17.08.2023","13,815","13,660","13,850","13,660","1,86M","0,66%"
"16.08.2023","13,725","13,710","13,835","13,650","2,49M","-0,18%"
"15.08.2023","13,750","13,900","13,950","13,680","2,71M","-0,76%"
"14.08.2023","13,855","13,910","13,990","13,805","4,94M","-1,81%"
"11.08.2023","14,110","14,040","14,110","13,895","2,25M","-0,25%"
"10.08.2023","14,145","14,070","14,215","14,030","2,54M","1,14%"
"09.08.2023","13,985","13,800","14,080","13,800","3,07M","2,15%"
"08.08.2023","13,690","13,720","13,745","13,430","2,47M","-0,87%"
"07.08.2023","13,810","13,900","13,955","13,705","1,98M","0,29%"
"04.08.2023","13,770","13,680","13,845","13,680","2,73M","0,92%"
"03.08.2023","13,645","13,560","13,670","13,360","5,36M","0,55%"
"02.08.2023","13,570","13,670","13,850","13,570","9,42M","-0,99%"
