"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.09.2023","3,8420","3,8550","3,8650","3,8330","","0,18%"
"07.09.2023","3,8350","3,8350","3,8450","3,7610","10,06M","1,97%"
"06.09.2023","3,7610","3,8810","3,8890","3,7560","15,21M","0,27%"
"05.09.2023","3,7510","3,7410","3,7690","3,7100","7,41M","-0,05%"
"04.09.2023","3,7530","3,8400","3,8420","3,7360","8,28M","-1,96%"
"01.09.2023","3,8280","3,8250","3,8520","3,8210","4,24M","0,10%"
"31.08.2023","3,8240","3,8160","3,8620","3,8160","11,64M","0,21%"
"30.08.2023","3,8160","3,7950","3,8460","3,7900","10,17M","0,55%"
"29.08.2023","3,7950","3,7600","3,8050","3,7500","70,88M","1,61%"
"28.08.2023","3,7350","3,7350","3,7390","3,6960","","1,30%"
"25.08.2023","3,6870","3,6850","3,7220","3,6780","5,66M","-0,08%"
"24.08.2023","3,6900","3,6800","3,6980","3,6680","6,50M","0,68%"
"23.08.2023","3,6650","3,6180","3,6650","3,6150","6,85M","1,58%"
"22.08.2023","3,6080","3,6180","3,6470","3,6010","4,38M","0,00%"
"21.08.2023","3,6080","3,6020","3,6530","3,6000","5,47M","-0,50%"
"18.08.2023","3,6260","3,5850","3,6380","3,5820","8,76M","0,64%"
"17.08.2023","3,6030","3,5850","3,6050","3,5730","6,43M","0,08%"
"16.08.2023","3,6000","3,6050","3,6090","3,5650","7,02M","-0,61%"
"15.08.2023","3,6220","3,6400","3,6660","3,6090","5,35M","-0,77%"
"14.08.2023","3,6500","3,6300","3,6590","3,6300","7,73M","0,44%"
"11.08.2023","3,6340","3,6300","3,6630","3,6220","16,50M","0,00%"
"10.08.2023","3,6340","3,5790","3,6460","3,5790","10,80M","1,88%"
"09.08.2023","3,5670","3,5300","3,5760","3,5250","8,87M","1,45%"
"08.08.2023","3,5160","3,5010","3,5250","3,4860","8,16M","0,06%"
"07.08.2023","3,5140","3,5310","3,5350","3,5000","7,92M","-0,59%"
"04.08.2023","3,5350","3,5380","3,5490","3,5060","9,87M","0,54%"
"03.08.2023","3,5160","3,5440","3,5710","3,5060","49,72M","-1,18%"
"02.08.2023","3,5580","3,8190","3,8200","3,5320","53,78M","-7,03%"
"01.08.2023","3,8270","3,8830","3,8940","3,8210","9,22M","-1,29%"
"31.07.2023","3,8770","3,9300","3,9360","3,8770","12,09M","-1,32%"
"28.07.2023","3,9290","3,9280","3,9640","3,9200","10,17M","-0,53%"
"27.07.2023","3,9500","3,8450","3,9550","3,8340","25,23M","3,57%"
"26.07.2023","3,8140","3,7700","3,8210","3,7510","17,87M","1,73%"
